epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2181,1.33048,1.35044,2.92573,1.58098,0.70034,0.59412,0.61792,0.38176,0.69602,0.59706,0.62237,0.33076,1.41269,1.16197,2.1694,1.66582,0.00054889,0.00054889,0.00054889
2,65.1595,1.4465,0.8092,2.40361,1.63743,0.67221,0.61953,0.64222,0.37838,0.63244,0.58018,0.52787,0.21325,1.35895,1.40136,2.2234,1.57845,0.00108998,0.00108998,0.00108998
3,95.3665,1.44172,0.76484,2.02757,1.60505,0.43273,0.73223,0.62624,0.40421,0.42827,0.71628,0.61846,0.306,1.28367,0.83644,2.42333,1.4989,0.00161639,0.00161639,0.00161639
4,126.735,1.46145,0.71198,1.78752,1.61149,0.45369,0.26965,0.3067,0.16441,0.37509,0.24679,0.23216,0.0755,1.74695,1.97706,2.13789,1.75206,0.00160099,0.00160099,0.00160099
5,156.621,1.44566,0.68488,1.6623,1.58747,0.7593,0.63254,0.74963,0.49478,0.73613,0.61658,0.71866,0.37941,1.31742,0.70732,1.86314,1.65438,0.00157898,0.00157898,0.00157898
6,186.222,1.27945,0.69018,1.40227,1.47701,0.75303,0.71703,0.80594,0.57613,0.745,0.72615,0.79019,0.47132,1.15584,0.50238,1.11661,1.32077,0.00155698,0.00155698,0.00155698
7,215.948,1.21342,0.67376,1.20644,1.42593,0.83658,0.79919,0.84543,0.56396,0.83188,0.79387,0.82022,0.34427,1.21389,0.93655,1.08133,1.29834,0.00153497,0.00153497,0.00153497
8,245.218,1.15524,0.61176,1.14162,1.39276,0.9163,0.77947,0.9135,0.6956,0.91086,0.77534,0.89929,0.57395,0.89536,0.46363,0.91053,1.11444,0.00151297,0.00151297,0.00151297
9,275.025,1.15332,0.61825,1.07266,1.39347,0.95374,0.68901,0.84264,0.56663,0.94553,0.68369,0.83115,0.48387,1.13906,0.54292,1.04,1.27259,0.00149096,0.00149096,0.00149096
10,304.325,1.10336,0.55255,1.0012,1.34299,0.92309,0.82815,0.93702,0.68685,0.92612,0.82503,0.91891,0.54597,0.91663,0.4516,0.84428,1.14031,0.00146896,0.00146896,0.00146896
11,335.382,1.02926,0.51532,0.90167,1.3053,0.9843,0.88079,0.97246,0.73803,0.9843,0.88079,0.9631,0.63182,0.92352,0.41632,0.69398,1.13272,0.00144696,0.00144696,0.00144696
12,365.224,0.96039,0.46754,0.84533,1.25722,0.93571,0.89814,0.96651,0.71758,0.96375,0.88069,0.96478,0.61591,0.87599,0.36891,0.73172,1.1235,0.00142495,0.00142495,0.00142495
13,394.888,0.9864,0.47084,0.80954,1.28366,0.94205,0.90091,0.94365,0.70287,0.94205,0.90091,0.92366,0.58565,1.00944,0.39666,0.77321,1.19757,0.00140295,0.00140295,0.00140295
14,424.059,0.98517,0.49175,0.7926,1.26889,0.93727,0.89061,0.97095,0.74166,0.9216,0.87497,0.94671,0.64742,0.85751,0.35593,0.64433,1.11267,0.00138094,0.00138094,0.00138094
15,453.827,0.92035,0.45186,0.72438,1.23601,0.93965,0.9434,0.98393,0.73553,0.93178,0.93514,0.96892,0.64152,0.86338,0.35718,0.6035,1.13687,0.00135894,0.00135894,0.00135894
16,483.501,0.86842,0.46356,0.68782,1.2126,0.9368,0.94743,0.98583,0.76905,0.93292,0.93591,0.97022,0.65632,0.78299,0.357,0.58546,1.09684,0.00133693,0.00133693,0.00133693
17,513.128,0.85306,0.44716,0.66334,1.21024,0.97179,0.91495,0.96323,0.77784,0.96703,0.91094,0.95254,0.6492,0.80254,0.3734,0.64388,1.08189,0.00131493,0.00131493,0.00131493
18,544.206,0.92411,0.46952,0.70253,1.24472,0.95655,0.92997,0.97954,0.75529,0.97458,0.92035,0.9679,0.65225,0.83114,0.3677,0.56534,1.08751,0.00129293,0.00129293,0.00129293
19,573.467,0.89432,0.4269,0.73034,1.23449,0.91802,0.90904,0.96949,0.73215,0.92019,0.90667,0.95743,0.62994,0.87293,0.34848,0.67231,1.11025,0.00127092,0.00127092,0.00127092
20,602.658,0.88057,0.41114,0.68872,1.21946,0.9695,0.96261,0.98435,0.74213,0.968,0.9484,0.96975,0.64533,0.87882,0.34843,0.59451,1.13909,0.00124892,0.00124892,0.00124892
21,631.939,0.81992,0.40819,0.61387,1.17915,0.95321,0.96457,0.98716,0.73748,0.94448,0.96069,0.97521,0.62446,0.9011,0.33314,0.55459,1.1753,0.00122691,0.00122691,0.00122691
22,661.369,0.83003,0.39758,0.60109,1.19173,0.98487,0.94058,0.99156,0.75874,0.97488,0.93117,0.97645,0.66579,0.86215,0.32461,0.51161,1.1068,0.00120491,0.00120491,0.00120491
23,690.907,0.81005,0.4199,0.5899,1.18025,0.95451,0.97549,0.99217,0.74435,0.97612,0.93327,0.97271,0.62514,0.83648,0.39091,0.5373,1.13978,0.0011829,0.0011829,0.0011829
24,720.235,0.81785,0.41674,0.60384,1.17838,0.98552,0.98017,0.98996,0.75675,0.98976,0.98408,0.99375,0.63419,0.82234,0.34553,0.50221,1.08323,0.0011609,0.0011609,0.0011609
25,752.048,0.78138,0.41672,0.5832,1.16163,0.95571,0.95085,0.97388,0.76539,0.95161,0.94697,0.96441,0.65756,0.79256,0.35211,0.58554,1.0824,0.00113889,0.00113889,0.00113889
26,781.583,0.76985,0.40921,0.56001,1.1495,0.94796,0.97455,0.9861,0.77633,0.96102,0.93797,0.97136,0.66376,0.74744,0.3497,0.48974,1.04476,0.00111689,0.00111689,0.00111689
27,811.187,0.77162,0.38844,0.54484,1.15331,0.96877,0.97815,0.99153,0.78244,0.95531,0.96457,0.95927,0.68709,0.73691,0.33073,0.50308,1.04556,0.00109489,0.00109489,0.00109489
28,840.755,0.76665,0.38098,0.55066,1.1569,0.97104,0.97453,0.98887,0.78101,0.96848,0.97159,0.98454,0.68187,0.75025,0.32418,0.47927,1.07861,0.00107288,0.00107288,0.00107288
29,870.028,0.67977,0.39162,0.5019,1.10792,0.98189,0.98642,0.99363,0.80704,0.9778,0.98228,0.98032,0.69111,0.70075,0.3178,0.4361,1.02154,0.00105088,0.00105088,0.00105088
30,899.858,0.6905,0.3743,0.50563,1.11961,0.98191,0.97763,0.9906,0.79661,0.98714,0.98295,0.98023,0.65649,0.72334,0.32491,0.46054,1.05269,0.00102887,0.00102887,0.00102887
31,929.129,0.69647,0.39085,0.50067,1.11236,0.988,0.9826,0.99463,0.82374,0.98382,0.97847,0.98859,0.69156,0.65903,0.3146,0.42065,0.99306,0.00100687,0.00100687,0.00100687
32,960.758,0.69581,0.37994,0.49445,1.11156,0.97863,0.96386,0.98732,0.77772,0.97407,0.9655,0.98249,0.69396,0.80499,0.30849,0.45904,1.07162,0.000984864,0.000984864,0.000984864
33,990.035,0.6806,0.39541,0.48975,1.10866,0.9921,0.98294,0.99471,0.81145,0.98673,0.97521,0.98032,0.68454,0.69393,0.32983,0.44661,1.01745,0.000962859,0.000962859,0.000962859
34,1019.17,0.68285,0.39334,0.47573,1.10386,0.99012,0.97473,0.99264,0.77745,0.99144,0.97573,0.98923,0.68061,0.76399,0.3144,0.44543,1.03627,0.000940855,0.000940855,0.000940855
35,1048.66,0.68036,0.37441,0.46915,1.09244,0.97244,0.9745,0.99068,0.8136,0.96457,0.96623,0.98139,0.67781,0.68788,0.31393,0.46681,1.01004,0.00091885,0.00091885,0.00091885
36,1078.25,0.66648,0.37769,0.45267,1.10447,0.98829,0.97994,0.99298,0.81044,0.98535,0.97699,0.98465,0.70339,0.70014,0.31041,0.42599,1.00826,0.000896846,0.000896846,0.000896846
37,1107.96,0.65331,0.36251,0.45325,1.07878,0.95544,0.98782,0.99287,0.81631,0.95544,0.98782,0.99287,0.70456,0.6826,0.29924,0.41135,0.99582,0.000874842,0.000874842,0.000874842
38,1138.15,0.61442,0.35975,0.45356,1.07015,0.96476,0.99346,0.99389,0.81306,0.95667,0.98519,0.98377,0.69508,0.68594,0.30762,0.43554,0.97805,0.000852837,0.000852837,0.000852837
39,1169.46,0.58896,0.3528,0.42659,1.05576,0.98908,0.98642,0.99037,0.83649,0.99585,0.98174,0.99485,0.71502,0.64446,0.30222,0.38218,0.97126,0.000830833,0.000830833,0.000830833
40,1199.23,0.61774,0.3651,0.42085,1.05738,0.95817,0.99055,0.9898,0.77524,0.96115,0.95928,0.98776,0.66577,0.77639,0.30847,0.42406,1.04519,0.000808828,0.000808828,0.000808828
41,1228.63,0.6162,0.357,0.41977,1.07244,0.98103,0.97283,0.99168,0.8013,0.9726,0.96457,0.98294,0.68056,0.7496,0.31807,0.43668,1.04427,0.000786824,0.000786824,0.000786824
42,1258.11,0.63878,0.36685,0.42051,1.06032,0.9851,0.9792,0.99005,0.81413,0.98925,0.98334,0.99461,0.70479,0.71882,0.29719,0.40643,1.00522,0.00076482,0.00076482,0.00076482
43,1287.29,0.66029,0.35026,0.42945,1.08316,0.98313,0.97697,0.99262,0.79913,0.98854,0.98228,0.99409,0.68893,0.67859,0.29903,0.42246,1.02891,0.000742815,0.000742815,0.000742815
44,1316.58,0.62163,0.35688,0.42366,1.06085,0.99392,0.98385,0.99469,0.82007,0.98976,0.97972,0.98937,0.70629,0.69245,0.29727,0.39463,1.00737,0.000720811,0.000720811,0.000720811
45,1345.78,0.64962,0.34772,0.43469,1.07823,0.98451,0.98658,0.9932,0.81829,0.98451,0.98658,0.98448,0.69829,0.69111,0.29954,0.41028,0.98734,0.000698806,0.000698806,0.000698806
46,1375.75,0.63751,0.34915,0.41904,1.0625,0.99321,0.99519,0.995,0.82522,0.99321,0.99519,0.995,0.70311,0.70016,0.29313,0.39308,0.97234,0.000676802,0.000676802,0.000676802
47,1405.76,0.58545,0.35434,0.40162,1.04373,0.98715,0.99123,0.99479,0.82902,0.98715,0.99123,0.99479,0.69867,0.62437,0.29945,0.36343,0.96879,0.000654798,0.000654798,0.000654798
48,1435.32,0.56822,0.34849,0.38312,1.04057,0.98078,0.99587,0.9941,0.82354,0.97245,0.9876,0.98445,0.69549,0.63191,0.30731,0.37774,0.97178,0.000632793,0.000632793,0.000632793
49,1465.45,0.56029,0.3555,0.38322,1.0367,0.99335,0.99353,0.99495,0.85242,0.985,0.98532,0.98569,0.70904,0.60372,0.30409,0.35128,0.97634,0.000610789,0.000610789,0.000610789
50,1495.1,0.54073,0.33752,0.3673,1.0331,0.98586,0.98698,0.99429,0.83169,0.98167,0.98285,0.98964,0.69387,0.62154,0.31095,0.37588,0.97786,0.000588784,0.000588784,0.000588784
51,1524.25,0.54994,0.342,0.37954,1.02891,0.99077,0.99055,0.99367,0.83541,0.99077,0.99055,0.99367,0.68775,0.61783,0.30673,0.34518,0.95697,0.00056678,0.00056678,0.00056678
52,1553.62,0.54512,0.33833,0.36472,1.03136,1,0.98524,0.99496,0.84772,0.99705,0.98083,0.99267,0.70481,0.5769,0.30157,0.33739,0.95322,0.000544776,0.000544776,0.000544776
53,1582.85,0.54628,0.33416,0.36906,1.03417,0.98945,0.98268,0.99431,0.84912,0.9772,0.97934,0.98039,0.70464,0.5971,0.30376,0.34747,0.95898,0.000522771,0.000522771,0.000522771
54,1613.55,0.54166,0.31678,0.35693,1.02671,0.99682,0.99587,0.995,0.84175,0.99267,0.99174,0.99048,0.72219,0.63459,0.28841,0.34364,0.96677,0.000500767,0.000500767,0.000500767
55,1643.49,0.56353,0.33265,0.37492,1.02547,0.99772,0.99474,0.995,0.84865,0.98513,0.98237,0.98416,0.70763,0.61242,0.29542,0.35188,0.97353,0.000478762,0.000478762,0.000478762
56,1672.88,0.54304,0.33444,0.36952,1.02415,0.99318,0.99113,0.99491,0.85533,0.98899,0.987,0.99024,0.70792,0.56605,0.29489,0.34759,0.92556,0.000456758,0.000456758,0.000456758
57,1702.55,0.52041,0.328,0.35684,1.00621,0.99825,0.99587,0.995,0.84657,0.99825,0.99587,0.995,0.71247,0.57719,0.29644,0.35307,0.94364,0.000434754,0.000434754,0.000434754
58,1731.76,0.50352,0.32515,0.35107,0.99864,0.99633,0.99493,0.995,0.85824,0.99633,0.99493,0.995,0.70877,0.54471,0.2966,0.32606,0.93484,0.000412749,0.000412749,0.000412749
59,1761.15,0.49063,0.31462,0.34163,1.00376,0.99852,0.99587,0.995,0.86273,0.99852,0.99587,0.995,0.7215,0.55379,0.29399,0.32854,0.94405,0.000390745,0.000390745,0.000390745
60,1790.74,0.48299,0.3198,0.33856,0.99596,0.99915,0.99498,0.995,0.85866,0.99915,0.99498,0.995,0.72507,0.55466,0.27876,0.32191,0.94413,0.00036874,0.00036874,0.00036874
61,1821.13,0.48794,0.3236,0.33652,1.00616,0.99251,0.99063,0.99495,0.85348,0.99251,0.99063,0.99495,0.71652,0.55514,0.28907,0.3443,0.93918,0.000346736,0.000346736,0.000346736
62,1850.05,0.4703,0.31257,0.33158,0.99681,0.99145,0.99587,0.99479,0.87092,0.9873,0.99174,0.99028,0.73052,0.52123,0.28754,0.31468,0.91529,0.000324732,0.000324732,0.000324732
63,1879.46,0.47273,0.31336,0.32411,0.98976,0.99685,0.99374,0.995,0.86381,0.99685,0.99374,0.995,0.7287,0.53092,0.2896,0.31995,0.93754,0.000302727,0.000302727,0.000302727
64,1908.58,0.4615,0.30396,0.31954,0.99155,0.99341,0.99174,0.99052,0.86592,0.99757,0.99587,0.995,0.7296,0.54357,0.29225,0.31942,0.93867,0.000280723,0.000280723,0.000280723
65,1937.21,0.46213,0.31437,0.31735,0.98702,0.98797,0.99174,0.99321,0.87198,0.99213,0.99587,0.99474,0.73243,0.51378,0.28467,0.31782,0.91302,0.000258718,0.000258718,0.000258718
66,1969.47,0.45119,0.31063,0.31572,0.9832,0.98865,0.99174,0.99376,0.86596,0.99281,0.99587,0.99489,0.7312,0.51683,0.28787,0.30494,0.91776,0.000236714,0.000236714,0.000236714
67,1998.83,0.43723,0.30689,0.3079,0.98068,0.99256,0.99587,0.99447,0.86752,0.99256,0.99587,0.99447,0.72125,0.51686,0.28746,0.30948,0.92146,0.00021471,0.00021471,0.00021471
68,2030.13,0.43034,0.29897,0.30362,0.97572,0.99703,0.99587,0.995,0.86851,0.99703,0.99587,0.995,0.72656,0.52022,0.2951,0.30237,0.92135,0.000192705,0.000192705,0.000192705
69,2058.9,0.42377,0.30458,0.30009,0.98199,0.99818,0.99587,0.995,0.86996,0.99818,0.99587,0.995,0.73337,0.50811,0.28576,0.29713,0.92192,0.000170701,0.000170701,0.000170701
70,2087.95,0.42313,0.30304,0.29593,0.97651,0.99841,0.99587,0.995,0.87566,0.99841,0.99587,0.995,0.73881,0.49654,0.27773,0.29538,0.91425,0.000148696,0.000148696,0.000148696
71,2117.1,0.42383,0.29425,0.29565,0.9799,0.99722,0.99587,0.995,0.87415,0.99722,0.99587,0.995,0.7322,0.5011,0.27948,0.28848,0.91849,0.000126692,0.000126692,0.000126692
72,2146,0.41908,0.30308,0.29013,0.97966,0.9971,0.99587,0.995,0.87064,0.9971,0.99587,0.995,0.72962,0.53035,0.27855,0.2919,0.94372,0.000104688,0.000104688,0.000104688
73,2174.77,0.40372,0.29939,0.28827,0.96841,0.99698,0.99587,0.995,0.877,0.99698,0.99587,0.995,0.73532,0.50137,0.28196,0.28582,0.91979,8.26832e-05,8.26832e-05,8.26832e-05
74,2203.82,0.41139,0.28861,0.29166,0.97433,0.99667,0.99587,0.995,0.87525,0.99667,0.99587,0.995,0.73466,0.50435,0.2776,0.28613,0.92281,6.06788e-05,6.06788e-05,6.06788e-05
75,2233.73,0.39714,0.28984,0.28392,0.9664,0.99203,0.99055,0.99409,0.87275,0.99733,0.99587,0.995,0.73971,0.50392,0.27709,0.28376,0.92434,3.86744e-05,3.86744e-05,3.86744e-05
